Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/2/2020,60,PM2.5,Newark Firehouse,34-013-0003,AirNow,.,45,.,.,60,.
3/3/2020,56,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,39,.,.,56,.
3/4/2020,39,Ozone,Chester,34-027-3001,AirNow,.,39,.,.,23,.
3/5/2020,37,Ozone,MILLBROOK,36-027-0007,AirNow,.,37,.,.,34,.
3/6/2020,46,PM2.5,Flemington,34-019-0001,AirNow,.,40,.,.,46,.
3/7/2020,40,Ozone,Chester,34-027-3001,AirNow,.,40,.,.,23,.
3/8/2020,41,Ozone,MILLBROOK,36-027-0007,AirNow,.,41,.,.,29,.
3/9/2020,50,PM2.5,Queens College Near Road,36-081-0125,AirNow,.,48,.,.,50,.
3/10/2020,64,Ozone,Leonia,34-003-0006,AirNow,.,64,.,.,47,.
3/11/2020,74,Ozone,Leonia,34-003-0006,AirNow,.,74,.,.,30,.
3/12/2020,52,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,36,.,.,52,.
3/13/2020,46,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,42,.,.,46,.
3/14/2020,39,Ozone,Colliers Mills,34-029-0006,AirNow,.,39,.,.,20,.
3/15/2020,41,Ozone,MILLBROOK,36-027-0007,AirNow,.,41,.,.,23,.
3/16/2020,40,Ozone,Chester,34-027-3001,AirNow,.,40,.,.,25,.
3/17/2020,39,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,36,.,.,39,.
3/18/2020,42,Ozone,Monmouth University,34-025-0005,AirNow,.,42,.,.,33,.
3/19/2020,40,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,36,.,.,40,.
3/20/2020,61,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,38,.,.,61,.
3/21/2020,41,Ozone,Leonia,34-003-0006,AirNow,.,41,.,.,28,.
3/22/2020,41,Ozone,MT NINHAM,36-079-0005,AirNow,.,41,.,.,28,.
3/23/2020,38,Ozone,RIVERHEAD,36-103-0004,AirNow,.,38,.,.,21,.
3/24/2020,39,Ozone,BABYLON,36-103-0002,AirNow,.,39,.,.,25,.
3/25/2020,39,Ozone,RIVERHEAD,36-103-0004,AirNow,.,39,.,.,32,.
3/26/2020,44,Ozone,MT NINHAM,36-079-0005,AirNow,.,44,.,.,34,.
3/27/2020,44,Ozone,Monmouth University,34-025-0005,AirNow,.,44,.,.,30,.
3/28/2020,42,Ozone,RIVERHEAD,36-103-0004,AirNow,.,42,.,.,39,.
3/29/2020,42,Ozone,RIVERHEAD,36-103-0004,AirNow,.,42,.,.,23,.
3/30/2020,43,PM2.5,Newark Firehouse,34-013-0003,AirNow,.,37,.,.,43,.
3/31/2020,41,Ozone,RIVERHEAD,36-103-0004,AirNow,.,41,.,.,23,.
4/1/2020,43,Ozone,MILLBROOK,36-027-0007,AirNow,.,43,.,.,27,.
4/2/2020,41,Ozone,Flemington,34-019-0001,AirNow,.,41,.,.,13,.
4/3/2020,36,Ozone,RIVERHEAD,36-103-0004,AirNow,.,36,.,.,13,.
4/4/2020,40,Ozone,BABYLON,36-103-0002,AirNow,.,40,.,.,19,.
4/5/2020,52,PM2.5,Jersey City Firehouse,34-017-1003,AirNow,.,41,.,.,52,.
4/6/2020,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,35,.
4/7/2020,50,Ozone,Chester,34-027-3001,AirNow,.,50,.,.,35,.
4/8/2020,46,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,44,.,.,46,.
4/9/2020,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,31,.
4/10/2020,38,Ozone,RIVERHEAD,36-103-0004,AirNow,.,38,.,.,17,.
4/11/2020,43,Ozone,Leonia,34-003-0006,AirNow,.,43,.,.,28,.
4/12/2020,47,Ozone,Chester,34-027-3001,AirNow,.,47,.,.,44,.
4/13/2020,45,Ozone,RIVERHEAD,36-103-0004,AirNow,.,45,.,.,28,.
4/14/2020,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,18,.
4/15/2020,44,Ozone,HOLTSVILLE,36-103-0009,AirNow,.,44,.,.,28,.
4/16/2020,40,Ozone,Monmouth University,34-025-0005,AirNow,.,40,.,.,30,.
4/17/2020,44,Ozone,Monmouth University,34-025-0005,AirNow,.,44,.,.,35,.
4/18/2020,44,Ozone,RIVERHEAD,36-103-0004,AirNow,.,44,.,.,43,.
4/19/2020,50,Ozone,MILLBROOK,36-027-0007,AirNow,.,50,.,.,40,.
4/20/2020,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,26,.
4/21/2020,41,Ozone,RIVERHEAD,36-103-0004,AirNow,.,41,.,.,38,.
4/22/2020,40,Ozone,Colliers Mills,34-029-0006,AirNow,.,40,.,.,20,.
4/23/2020,40,Ozone,Monmouth University,34-025-0005,AirNow,.,40,.,.,35,.
