,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
45,2019-02-15,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,31,0.0,27.0,43.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
46,2019-02-16,37,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,37,0.0,15.0,27.0,31.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
47,2019-02-17,38,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,2,38,0.0,10.0,31.0,12.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
48,2019-02-18,42,NO2,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,34,0.0,25.0,35.0,42.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
49,2019-02-19,57,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,35,1.0,34.0,57.0,48.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
50,2019-02-20,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,41,0.0,15.0,58.0,23.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
51,2019-02-21,80,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,43,0.0,33.0,80.0,43.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
52,2019-02-22,90,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,7,45,0.0,35.0,90.0,53.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
53,2019-02-23,73,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,40,0.0,22.0,73.0,12.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
54,2019-02-24,44,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,44,0.0,10.0,31.0,13.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
