Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
4/7/2019,33,PM2.5,Nampa - Fire Station,16-027-0002,AQS,6,31,0,12,33,12
4/8/2019,31,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,31,0,13,18,10
4/9/2019,39,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,39,0,6,14,6
4/10/2019,38,Ozone,Meridian - St. Luke's,16-001-0010,AQS,5,38,0,9,16,4
4/11/2019,32,Ozone,Meridian - St. Luke's,16-001-0010,AQS,5,32,0,6,16,11
4/12/2019,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,37,0,9,13,21
4/13/2019,44,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,44,0,9,24,18
4/14/2019,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,37,0,4,19,4
4/15/2019,41,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,41,0,6,29,15
4/16/2019,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,37,0,9,23,22
4/17/2019,34,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,34,0,12,26,.
4/18/2019,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,37,0,18,33,.
4/19/2019,33,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,33,0,19,28,21
4/20/2019,31,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,31,0,8,25,7
4/21/2019,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,5,35,0,9,23,2
4/22/2019,38,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,38,0,16,33,22
4/23/2019,38,PM2.5,Meridian - St. Luke's,16-001-0010,AQS,6,31,1,19,38,20
4/24/2019,44,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,44,0,15,34,11
4/25/2019,49,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,49,0,25,38,22
4/26/2019,45,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,45,0,27,40,19
4/27/2019,48,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,48,0,35,40,18
4/28/2019,39,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,39,0,10,20,4
4/29/2019,41,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,41,0,17,20,14
4/30/2019,43,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,43,0,21,22,8
5/1/2019,46,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,46,0,22,25,22
5/2/2019,46,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,46,0,23,35,25
5/3/2019,46,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,46,0,27,25,35
5/4/2019,44,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,44,0,27,28,23
5/5/2019,43,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,43,0,20,28,20
5/6/2019,40,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,40,0,26,19,13
5/7/2019,42,PM10,Nampa - Fire Station,16-027-0002,AQS,7,40,0,42,25,9
5/8/2019,38,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,38,0,24,22,8
