Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/19/2020,52,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,52,2
1/20/2020,44,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,44,22
1/21/2020,44,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,44,29
1/22/2020,65,PM2.5,Smoky Row Near Road,39-049-0038,AQS,7,.,4,22,65,34
1/23/2020,50,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,7,.,50,31
1/24/2020,21,PM2.5,New Albany,39-049-0029,AQS,2,.,4,.,21,21
1/25/2020,25,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,25,8
1/26/2020,27,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,27,10
1/27/2020,47,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,47,18
1/28/2020,28,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,6,28,8
1/29/2020,26,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,26,14
1/30/2020,33,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,33,8
1/31/2020,60,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,60,23
2/1/2020,58,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,58,21
2/2/2020,26,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,26,11
2/3/2020,29,NO2,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,27,29
2/4/2020,22,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,22,15
2/5/2020,11,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,11,6
2/6/2020,22,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,22,16
2/7/2020,30,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,30,14
2/8/2020,43,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,43,15
2/9/2020,48,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,48,14
2/10/2020,22,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,22,15
2/11/2020,53,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,53,11
2/12/2020,49,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,49,32
2/13/2020,31,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,31,16
2/14/2020,37,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,37,26
2/15/2020,39,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,39,31
2/16/2020,33,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,33,27
2/17/2020,47,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,47,31
2/18/2020,34,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,34,14
2/19/2020,40,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,40,23
2/20/2020,30,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,30,28
2/21/2020,36,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,36,30
2/22/2020,48,PM2.5,New Albany,39-049-0029,AQS,1,.,1,.,48,21
2/23/2020,35,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,35,25
2/24/2020,37,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,37,26
2/25/2020,50,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,50,14
2/26/2020,30,NO2,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,26,30
2/27/2020,27,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,27,9
2/28/2020,44,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,44,20
2/29/2020,37,PM2.5,New Albany,39-049-0029,AQS,1,.,0,.,37,25
3/1/2020,39,Ozone,Heath,39-089-0005,AirNow,1,39,.,.,33,.
3/2/2020,42,PM2.5,New Albany,39-049-0029,AirNow,.,39,.,.,42,.
3/3/2020,35,Ozone,New Albany,39-049-0029,AirNow,.,35,.,.,21,.
3/4/2020,35,Ozone,Heath,39-089-0005,AirNow,.,35,.,.,23,.
3/5/2020,38,Ozone,Heath,39-089-0005,AirNow,.,38,.,.,25,.
3/6/2020,32,Ozone,Delaware,39-041-0002,AirNow,.,32,.,.,22,.
3/7/2020,37,Ozone,Delaware,39-041-0002,AirNow,.,37,.,.,32,.
3/8/2020,40,Ozone,Heath,39-089-0005,AirNow,.,40,.,.,26,.
3/9/2020,45,PM2.5,New Albany,39-049-0029,AirNow,.,44,.,.,45,.
3/10/2020,35,Ozone,Heath,39-089-0005,AirNow,.,35,.,.,29,.
3/11/2020,45,PM2.5,New Albany,39-049-0029,AirNow,.,21,.,.,45,.
3/12/2020,46,PM2.5,New Albany,39-049-0029,AirNow,.,35,.,.,46,.
3/13/2020,37,Ozone,Heath,39-089-0005,AirNow,.,37,.,.,21,.
3/14/2020,34,Ozone,New Albany,39-049-0029,AirNow,.,34,.,.,31,.
3/15/2020,33,Ozone,Delaware,39-041-0002,AirNow,.,33,.,.,28,.
3/16/2020,31,Ozone,Reynoldsburg,39-089-0008,AirNow,.,31,.,.,30,.
3/17/2020,40,PM2.5,New Albany,39-049-0029,AirNow,.,27,.,.,40,.
3/18/2020,40,PM2.5,Smoky Row Near Road,39-049-0038,AirNow,.,21,.,.,40,.
3/19/2020,28,Ozone,London,39-097-0007,AirNow,.,28,.,.,21,.
3/20/2020,31,Ozone,Heath,39-089-0005,AirNow,.,31,.,.,23,.
3/21/2020,36,Ozone,Delaware,39-041-0002,AirNow,.,36,.,.,20,.
3/22/2020,39,Ozone,Heath,39-089-0005,AirNow,.,39,.,.,29,.
3/23/2020,36,PM2.5,New Albany,39-049-0029,AirNow,.,36,.,.,36,.
3/24/2020,40,PM2.5,New Albany,39-049-0029,AirNow,.,35,.,.,40,.
3/25/2020,53,PM2.5,Smoky Row Near Road,39-049-0038,AirNow,.,43,.,.,53,.
3/26/2020,42,Ozone,London,39-097-0007,AirNow,.,42,.,.,34,.
3/27/2020,37,PM2.5,Smoky Row Near Road,39-049-0038,AirNow,.,35,.,.,37,.
3/28/2020,48,PM2.5,New Albany,39-049-0029,AirNow,.,30,.,.,48,.
3/29/2020,43,Ozone,Heath,39-089-0005,AirNow,.,43,.,.,19,.
3/30/2020,38,Ozone,Delaware,39-041-0002,AirNow,.,38,.,.,10,.
3/31/2020,31,Ozone,Maple Canyon,39-049-0081,AirNow,.,31,.,.,19,.
4/1/2020,32,Ozone,Heath,39-089-0005,AirNow,.,32,.,.,24,.
4/2/2020,40,Ozone,Heath,39-089-0005,AirNow,.,40,.,.,30,.
4/3/2020,45,Ozone,Delaware,39-041-0002,AirNow,.,45,.,.,44,.
4/4/2020,51,Ozone,New Albany,39-049-0029,AirNow,.,51,.,.,48,.
4/5/2020,54,PM2.5,New Albany,39-049-0029,AirNow,.,25,.,.,54,.
4/6/2020,44,Ozone,Delaware,39-041-0002,AirNow,.,44,.,.,32,.
4/7/2020,46,PM2.5,Smoky Row Near Road,39-049-0038,AirNow,.,42,.,.,46,.
4/8/2020,40,Ozone,Maple Canyon,39-049-0081,AirNow,.,40,.,.,30,.
4/9/2020,41,Ozone,Heath,39-089-0005,AirNow,.,41,.,.,19,.
4/10/2020,36,Ozone,Heath,39-089-0005,AirNow,.,36,.,.,20,.
4/11/2020,43,Ozone,London,39-097-0007,AirNow,.,43,.,.,40,.
4/12/2020,39,Ozone,Heath,39-089-0005,AirNow,.,39,.,.,22,.
4/13/2020,32,Ozone,Heath,39-089-0005,AirNow,.,32,.,.,16,.
4/14/2020,40,Ozone,Heath,39-089-0005,AirNow,.,40,.,.,18,.
4/15/2020,43,Ozone,Heath,39-089-0005,AirNow,.,43,.,.,28,.
4/16/2020,43,Ozone,Heath,39-089-0005,AirNow,.,43,.,.,23,.
4/17/2020,38,Ozone,Heath,39-089-0005,AirNow,.,38,.,.,34,.
4/18/2020,44,Ozone,Heath,39-089-0005,AirNow,.,44,.,.,41,.
4/19/2020,39,Ozone,Heath,39-089-0005,AirNow,.,39,.,.,36,.
4/20/2020,44,Ozone,Heath,39-089-0005,AirNow,.,44,.,.,11,.
4/21/2020,42,Ozone,Heath,39-089-0005,AirNow,.,42,.,.,15,.
4/22/2020,42,Ozone,London,39-097-0007,AirNow,.,42,.,.,23,.
4/23/2020,35,Ozone,Heath,39-089-0005,AirNow,.,35,.,.,28,.
