,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
211,2019-07-31,41,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,41,1,.,33.0,38.0,47.6062,-122.3321,Seattle,2020-03-23,744955
212,2019-08-01,36,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,36,1,6,21.0,21.0,47.6062,-122.3321,Seattle,2020-03-23,744955
213,2019-08-02,137,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,6,26,1,.,137.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
214,2019-08-03,56,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,41,1,.,56.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
215,2019-08-04,61,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,7,61,1,13,54.0,42.0,47.6062,-122.3321,Seattle,2020-03-23,744955
216,2019-08-05,87,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,8,87,3,.,74.0,41.0,47.6062,-122.3321,Seattle,2020-03-23,744955
217,2019-08-06,49,PM2.5,Tukwila Allentown,53-033-0069,AQS,7,47,1,.,49.0,36.0,47.6062,-122.3321,Seattle,2020-03-23,744955
218,2019-08-07,43,PM2.5,Tukwila Allentown,53-033-0069,AQS,6,40,1,10,43.0,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
219,2019-08-08,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,6,31,1,.,27.0,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
220,2019-08-09,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,36,1,.,32.0,34.0,47.6062,-122.3321,Seattle,2020-03-23,744955
221,2019-08-10,35,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,3,27,3,9,35.0,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
222,2019-08-11,28,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,2,28,1,.,28.0,14.0,47.6062,-122.3321,Seattle,2020-03-23,744955
223,2019-08-12,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,39,1,.,26.0,33.0,47.6062,-122.3321,Seattle,2020-03-23,744955
224,2019-08-13,49,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,49,3,8,37.0,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
225,2019-08-14,50,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,50,1,.,33.0,41.0,47.6062,-122.3321,Seattle,2020-03-23,744955
226,2019-08-15,36,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,36,1,.,29.0,34.0,47.6062,-122.3321,Seattle,2020-03-23,744955
227,2019-08-16,39,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,24,1,11,39.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
228,2019-08-17,33,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,30,1,.,33.0,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
229,2019-08-18,32,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,32,1,.,28.0,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
230,2019-08-19,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,42,3,7,34.0,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
231,2019-08-20,44,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,7,44,3,.,38.0,36.0,47.6062,-122.3321,Seattle,2020-03-23,744955
232,2019-08-21,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,39,1,.,40.0,33.0,47.6062,-122.3321,Seattle,2020-03-23,744955
233,2019-08-22,39,NO2,Seattle-10th & Weller,53-033-0030,AQS,7,37,1,12,37.0,39.0,47.6062,-122.3321,Seattle,2020-03-23,744955
234,2019-08-23,45,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,36,.,.,45.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
235,2019-08-24,35,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,31,.,.,35.0,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
236,2019-08-25,41,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,39,.,10,30.0,41.0,47.6062,-122.3321,Seattle,2020-03-23,744955
237,2019-08-26,54,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,41,.,.,54.0,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
238,2019-08-27,54,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,7,54,.,.,51.0,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
239,2019-08-28,90,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,7,90,.,12,43.0,39.0,47.6062,-122.3321,Seattle,2020-03-23,744955
240,2019-08-29,49,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,43,.,.,49.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
241,2019-08-30,42,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,35,.,.,42.0,34.0,47.6062,-122.3321,Seattle,2020-03-23,744955
