Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
6/20/2019,27,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,5,25,1,6,27,24
6/21/2019,29,PM2.5,Tacoma-S 36th St,53-053-0024,AQS,5,27,1,.,29,22
6/22/2019,25,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,5,20,1,.,25,24
6/23/2019,25,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,3,24,1,7,25,21
6/24/2019,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,31,1,.,25,25
6/25/2019,37,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,37,3,.,30,31
6/26/2019,34,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,34,1,.,27,31
6/27/2019,32,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,32,1,.,21,22
6/28/2019,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,31,1,.,21,25
6/29/2019,39,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,39,1,8,30,24
6/30/2019,44,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,44,1,.,28,25
7/1/2019,43,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,43,3,.,29,35
7/2/2019,30,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,7,24,1,5,30,28
7/3/2019,31,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,21,1,.,31,30
7/4/2019,69,PM2.5,PUYALLUP - 128TH ST,53-053-1018,AQS,7,32,4,.,69,26
7/5/2019,77,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,20,1,9,77,22
7/6/2019,30,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,6,26,1,.,30,29
7/7/2019,30,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,5,23,1,.,30,20
7/8/2019,34,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,7,31,3,7,34,34
7/9/2019,40,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,26,3,.,40,31
7/10/2019,25,PM2.5,KENT - JAMES & CENTRAL,53-033-2004,AirNow,6,21,1,.,25,25
7/11/2019,26,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,19,.,6,25,26
7/12/2019,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,31,3,.,29,28
7/13/2019,28,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,5,27,1,.,28,22
7/14/2019,35,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,35,1,7,32,20
7/15/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,31,3,.,25,27
7/16/2019,32,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,27,4,.,29,32
7/17/2019,25,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,25,1,4,19,24
7/18/2019,28,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,28,1,.,24,19
7/19/2019,28,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,28,1,.,25,24
7/20/2019,51,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,5,37,1,8,51,32
7/21/2019,47,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,47,1,.,34,30
7/22/2019,45,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,45,1,.,26,25
7/23/2019,30,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,30,1,7,25,19
7/24/2019,34,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,34,1,.,25,20
7/25/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,41,1,.,28,27
7/26/2019,43,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,43,6,7,29,32
7/27/2019,29,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,29,1,.,23,21
7/28/2019,38,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,38,1,.,23,14
7/29/2019,40,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,40,3,11,34,27
7/30/2019,42,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,36,1,.,28,42
7/31/2019,41,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,41,1,.,33,38
8/1/2019,36,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,36,1,6,21,21
8/2/2019,137,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,6,26,1,.,137,25
8/3/2019,56,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,41,1,.,56,22
8/4/2019,61,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,7,61,1,13,54,42
8/5/2019,87,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,8,87,3,.,74,41
8/6/2019,49,PM2.5,Tukwila Allentown,53-033-0069,AQS,7,47,1,.,49,36
8/7/2019,43,PM2.5,Tukwila Allentown,53-033-0069,AQS,6,40,1,10,43,29
8/8/2019,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,6,31,1,.,27,26
8/9/2019,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,36,1,.,32,34
8/10/2019,35,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,3,27,3,9,35,28
8/11/2019,28,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,2,28,1,.,28,14
8/12/2019,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,39,1,.,26,33
8/13/2019,49,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,49,3,8,37,29
8/14/2019,50,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,50,1,.,33,41
8/15/2019,36,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,36,1,.,29,34
8/16/2019,39,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,24,1,11,39,22
8/17/2019,33,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,30,1,.,33,23
8/18/2019,32,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,32,1,.,28,24
8/19/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,42,3,7,34,23
8/20/2019,44,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,7,44,3,.,38,36
8/21/2019,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,39,1,.,40,33
8/22/2019,39,NO2,Seattle-10th & Weller,53-033-0030,AQS,7,37,1,12,37,39
8/23/2019,45,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,36,.,.,45,32
8/24/2019,35,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,31,.,.,35,27
8/25/2019,41,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,39,.,10,30,41
8/26/2019,54,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,41,.,.,54,24
8/27/2019,54,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,7,54,.,.,51,23
8/28/2019,90,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,7,90,.,12,43,39
8/29/2019,49,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,43,.,.,49,32
8/30/2019,42,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,35,.,.,42,34
8/31/2019,62,PM2.5,LAKE FOREST PARK TOWNE CENTER,53-033-0024,AQS,6,35,1,11,62,28
9/1/2019,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,31,0,.,25,24
9/2/2019,43,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,6,43,0,.,35,30
9/3/2019,47,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,41,.,13,47,35
9/4/2019,44,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,38,.,.,44,30
9/5/2019,54,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,40,.,.,54,42
9/6/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,42,1,11,40,41
9/7/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,42,1,.,32,24
9/8/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,31,0,.,21,19
9/9/2019,35,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,35,0,4,24,25
9/10/2019,30,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,30,0,.,29,30
9/11/2019,36,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,7,31,0,.,36,31
9/12/2019,34,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,7,34,1,7,29,26
9/13/2019,30,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,30,0,.,30,22
