Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
4/6/2019,81,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,18,64,64,37,81,41
4/7/2019,62,PM2.5,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS,25,48,20,21,62,28
4/8/2019,47,Ozone,Oak Park,26-125-0001,AQS,11,47,9,19,46,37
4/9/2019,70,NO2,LIVONIA-NR,26-163-0095,AQS,6,43,10,58,46,70
4/10/2019,37,Ozone,Port Huron,26-147-0005,AQS,6,37,36,21,23,20
4/11/2019,85,SO2,Port Huron,26-147-0005,AQS,7,37,85,55,52,17
4/12/2019,52,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,9,42,26,29,52,32
4/13/2019,50,Ozone,Port Huron,26-147-0005,AQS,5,50,7,28,41,23
4/14/2019,37,Ozone,Port Huron,26-147-0005,AQS,6,37,4,3,24,12
4/15/2019,46,Ozone,Port Huron,26-147-0005,AQS,7,46,7,26,23,39
4/16/2019,54,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,29,17,37,54,42
4/17/2019,52,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,8,43,21,18,52,25
4/18/2019,70,SO2,Southwestern H.S.,26-163-0015,AQS,8,40,70,25,62,29
4/19/2019,36,Ozone,Port Huron,26-147-0005,AQS,10,36,11,18,13,12
4/20/2019,33,Ozone,New Haven,26-099-0009,AQS,9,33,11,5,17,14
4/21/2019,87,SO2,Southwestern H.S.,26-163-0015,AQS,7,42,87,13,45,25
4/22/2019,61,SO2,Southwestern H.S.,26-163-0015,AQS,8,46,61,23,51,28
4/23/2019,81,SO2,Southwestern H.S.,26-163-0015,AQS,9,36,81,49,47,35
4/24/2019,43,Ozone,New Haven,26-099-0009,AQS,8,43,40,26,35,33
4/25/2019,43,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,41,29,32,43,40
4/26/2019,47,Ozone,Port Huron,26-147-0005,AQS,7,47,3,28,30,19
4/27/2019,46,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,6,42,19,14,46,20
4/28/2019,138,PM2.5,Military Park (GHIB),26-163-0100,AQS,6,43,13,8,138,14
4/29/2019,55,SO2,Port Huron,26-147-0005,AQS,7,35,55,21,35,28
4/30/2019,58,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,34,19,22,58,25
5/1/2019,39,SO2,Port Huron,26-147-0005,AQS,9,37,39,14,39,31
5/2/2019,57,PM2.5,Southwestern H.S.,26-163-0015,AQS,9,34,31,31,57,33
