Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
4/14/2019,39,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,39,.,.,19,15
4/15/2019,31,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,31,0,9,23,23
4/16/2019,32,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,3,31,0,.,32,20
4/17/2019,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,34,0,.,14,24
4/18/2019,32,NO2,Portland - SE Lafayette,41-051-0080,AQS,8,30,1,10,27,32
4/19/2019,32,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,2,32,0,.,18,16
4/20/2019,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,38,0,.,18,12
4/21/2019,36,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,3,36,0,10,28,19
4/22/2019,35,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,6,31,1,.,35,24
4/23/2019,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,34,0,.,28,22
4/24/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,12,28,28
4/25/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,41,0,.,26,26
4/26/2019,46,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,2,46,0,.,25,28
4/27/2019,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,36,.,11,18,14
4/28/2019,38,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,5,38,0,.,21,19
4/29/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,41,0,.,20,24
4/30/2019,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,8,21,27
5/1/2019,44,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,5,44,0,.,23,21
5/2/2019,44,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,44,0,.,27,16
5/3/2019,37,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,37,0,11,21,21
5/4/2019,42,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,42,0,.,24,11
5/5/2019,39,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,39,0,.,25,9
5/6/2019,44,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,44,0,14,30,18
5/7/2019,44,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,44,0,.,30,13
5/8/2019,38,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,38,0,.,34,15
5/9/2019,45,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,45,0,24,28,25
5/10/2019,84,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,7,84,1,.,38,40
5/11/2019,71,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AQS,10,71,0,.,40,31
5/12/2019,37,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AQS,2,37,0,8,24,9
5/13/2019,36,Ozone,SAUVIE ISLAND-SIS,41-009-0004,AQS,2,36,0,.,29,10
5/14/2019,25,Ozone,SAUVIE ISLAND-SIS,41-009-0004,AQS,2,25,.,.,22,11
5/15/2019,25,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AQS,2,25,0,9,24,15
5/16/2019,31,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,31,0,.,25,16
5/17/2019,37,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,37,0,.,20,16
5/18/2019,35,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AQS,2,35,0,6,19,12
5/19/2019,41,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,41,0,.,15,9
