,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
57,2019-02-27,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,38,0,.,26.0,16.0,45.5051,-122.675,Portland,2020-03-23,653115
58,2019-02-28,30,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,6,30,0,.,30.0,22.0,45.5051,-122.675,Portland,2020-03-23,653115
59,2019-03-01,38,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,5,37,0,7,38.0,15.0,45.5051,-122.675,Portland,2020-03-23,653115
60,2019-03-02,58,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,3,42,0,.,58.0,13.0,45.5051,-122.675,Portland,2020-03-23,653115
61,2019-03-03,43,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,43,0,.,25.0,4.0,45.5051,-122.675,Portland,2020-03-23,653115
62,2019-03-04,43,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,43,0,13,18.0,6.0,45.5051,-122.675,Portland,2020-03-23,653115
63,2019-03-05,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,.,31.0,8.0,45.5051,-122.675,Portland,2020-03-23,653115
64,2019-03-06,53,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,42,0,.,53.0,33.0,45.5051,-122.675,Portland,2020-03-23,653115
65,2019-03-07,31,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,31,0,5,27.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
66,2019-03-08,36,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,5,27,0,.,36.0,32.0,45.5051,-122.675,Portland,2020-03-23,653115
67,2019-03-09,38,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,38,0,.,33.0,25.0,45.5051,-122.675,Portland,2020-03-23,653115
68,2019-03-10,41,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,2,41,0,11,34.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
69,2019-03-11,38,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,7,38,0,.,33.0,38.0,45.5051,-122.675,Portland,2020-03-23,653115
70,2019-03-12,37,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,37,0,.,16.0,32.0,45.5051,-122.675,Portland,2020-03-23,653115
71,2019-03-13,30,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,30,0,6,23.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
72,2019-03-14,31,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,31,.,.,28.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
73,2019-03-15,40,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,3,40,1,.,33.0,30.0,45.5051,-122.675,Portland,2020-03-23,653115
74,2019-03-16,53,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,40,0,17,53.0,25.0,45.5051,-122.675,Portland,2020-03-23,653115
75,2019-03-17,45,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,45,0,.,45.0,18.0,45.5051,-122.675,Portland,2020-03-23,653115
76,2019-03-18,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,.,24.0,9.0,45.5051,-122.675,Portland,2020-03-23,653115
77,2019-03-19,45,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,45,0,8,23.0,7.0,45.5051,-122.675,Portland,2020-03-23,653115
78,2019-03-20,47,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,47,0,.,22.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
79,2019-03-21,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,35,0,.,30.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
80,2019-03-22,38,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,7,26,1,13,38.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
81,2019-03-23,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,38,0,.,31.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
82,2019-03-24,42,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,42,0,.,27.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
83,2019-03-25,34,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,5,31,0,7,34.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
84,2019-03-26,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,41,0,.,18.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
85,2019-03-27,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,34,0,.,23.0,30.0,45.5051,-122.675,Portland,2020-03-23,653115
86,2019-03-28,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,32,0,9,21.0,18.0,45.5051,-122.675,Portland,2020-03-23,653115
87,2019-03-29,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,36,0,.,31.0,17.0,45.5051,-122.675,Portland,2020-03-23,653115
88,2019-03-30,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,34,0,.,32.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
89,2019-03-31,46,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,7,35,0,10,46.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
90,2019-04-01,38,PM2.5,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,8,31,0,.,38.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
91,2019-04-02,34,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,3,20,0,.,34.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
92,2019-04-03,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,35,0,7,16.0,22.0,45.5051,-122.675,Portland,2020-03-23,653115
93,2019-04-04,26,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,25,0,.,26.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
94,2019-04-05,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,.,18.0,17.0,45.5051,-122.675,Portland,2020-03-23,653115
95,2019-04-06,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,6,21.0,13.0,45.5051,-122.675,Portland,2020-03-23,653115
96,2019-04-07,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,35,0,.,13.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
97,2019-04-08,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,36,.,.,18.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
98,2019-04-09,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,38,0,9,17.0,28.0,45.5051,-122.675,Portland,2020-03-23,653115
99,2019-04-10,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,34,0,.,13.0,8.0,45.5051,-122.675,Portland,2020-03-23,653115
100,2019-04-11,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,32,0,.,14.0,7.0,45.5051,-122.675,Portland,2020-03-23,653115
101,2019-04-12,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,32,0,3,13.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
102,2019-04-13,33,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,33,0,.,15.0,15.0,45.5051,-122.675,Portland,2020-03-23,653115
103,2019-04-14,39,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,39,.,.,19.0,15.0,45.5051,-122.675,Portland,2020-03-23,653115
104,2019-04-15,31,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,31,0,9,23.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
105,2019-04-16,32,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,3,31,0,.,32.0,20.0,45.5051,-122.675,Portland,2020-03-23,653115
106,2019-04-17,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,34,0,.,14.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
107,2019-04-18,32,NO2,Portland - SE Lafayette,41-051-0080,AQS,8,30,1,10,27.0,32.0,45.5051,-122.675,Portland,2020-03-23,653115
108,2019-04-19,32,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,2,32,0,.,18.0,16.0,45.5051,-122.675,Portland,2020-03-23,653115
109,2019-04-20,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,38,0,.,18.0,12.0,45.5051,-122.675,Portland,2020-03-23,653115
110,2019-04-21,36,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,3,36,0,10,28.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
111,2019-04-22,35,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,6,31,1,.,35.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
112,2019-04-23,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,34,0,.,28.0,22.0,45.5051,-122.675,Portland,2020-03-23,653115
113,2019-04-24,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,12,28.0,28.0,45.5051,-122.675,Portland,2020-03-23,653115
114,2019-04-25,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,41,0,.,26.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
115,2019-04-26,46,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,2,46,0,.,25.0,28.0,45.5051,-122.675,Portland,2020-03-23,653115
116,2019-04-27,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,36,.,11,18.0,14.0,45.5051,-122.675,Portland,2020-03-23,653115
117,2019-04-28,38,Ozone,VANCOUVER - BLAIRMONT DR,53-011-0011,AirNow,5,38,0,.,21.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
118,2019-04-29,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,41,0,.,20.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
119,2019-04-30,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,8,21.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
120,2019-05-01,44,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,5,44,0,.,23.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
